91s4wczovs,郭军英,怒,男,1976,11,5,黑龙江省哈尔滨市香坊区黎明街道办事处红星村村委会,430602198902135496,西宁市湟源县公安局,1997.10.14-长期
yn5uzzbfpb,骆岚,仡佬,女,2002,8,13,山东省济南市商河县龙桑寺镇西刘木村委会,451225199004212653,济宁市微山县分局,2002.06.23-2022.06.23
fskvi2oake,晋娟,土,女,2010,10,10,河南省南阳市社旗县朱集镇朱集村委会,220600200009276588,张掖市山丹县分局,2006.06.20-2011.06.20
6xv6aov1xy,马双艳,毛难,男,1964,8,23,山东省济南市长清区马山镇西太平村委会,23128219460208980,吕梁市柳林县分局,2016.03.06-长期
4ocnjequsq,帅林,侗,女,1972,1,23,广西壮族自治区贵港市港北区中里乡公王村委会,32102119680405449,郑州市荥阳市公安局,2004.09.14-2024.09.14
t3749nz0xy,吴效民,拉祜,男,1974,5,6,四川省攀枝花市盐边县永兴镇新民村民委员会,37172819620304734,南宁市兴宁区公安局,2003.01.31-长期
oikuqng1tx,梁卫兰,羌,女,1999,8,14,浙江省丽水市龙泉市剑池街道南秦村村委会,23050419490929664,鞍山市铁西区分局,2004.11.13-2014.11.13
fmuxsu0hoq,张则栋,赫哲,女,1967,9,3,山东省青岛市平度市崔家集镇吕家村委会,34118119571209554,保定市高阳县分局,1999.02.18-长期
87mju0bhl1,顾绍培,羌,女,1981,8,3,内蒙古自治区呼伦贝尔市额尔古纳市三河回族乡苏沁居委会,310230200006030817,晋中市榆社县分局,1990.06.02-2000.06.02
amxl5jctoz,黄高原,鄂伦春,女,2002,6,31,贵州省铜仁市石阡县龙井乡管家坪村委会,520113198302125100,自治区直辖县级行政区划图木舒克市分局,1998.04.20-2018.04.20
xcfi4e8iaa,田世明,壮,男,1996,12,8,内蒙古自治区通辽市扎鲁特旗阿日昆都楞镇那仁宝力皋嘎查,652829199008178170,庆阳市环县分局,2004.08.04-2009.08.04
2yfwrh7kas,李德容,门巴,男,1977,8,24,辽宁省抚顺市抚顺县上马镇坎木村民委员会,22050219630818424,鄂尔多斯市东胜区公安局,2018.05.15-2023.05.15
p6e2lt5lmn,王鹏敏,裕固,女,1970,11,13,安徽省池州市东至县尧渡镇大庄村委会,469039200304145357,丹东市振安区公安局,2011.06.19-2016.06.19
sw7l9xol6q,胡永锋,哈尼,女,2007,7,29,河北省唐山市迁安市建昌营镇北冷口村委会,530424199411304511,大庆市萨尔图区公安局,2006.12.27-2011.12.27
zw3owrmav9,徐伟欣,鄂温克,女,1998,2,13,云南省曲靖市麒麟区潇湘街道办事处沙坝村委会,23243119630728408,邯郸市广平县分局,2018.07.04-2028.07.04
p333u1ciz2,张庆周,毛难,男,2000,5,1,山西省运城市平陆县圣人涧镇新湖村委会,652522198607280847,德阳市什邡市分局,2016.01.25-2021.01.25
cpst4c7fd7,龙能勇,普米,男,1955,9,24,浙江省金华市浦江县黄宅镇楼街村委会,41022219480318639,晋中市寿阳县公安局,2001.11.05-2021.11.05
wv08vjz0jo,毛嫱,维吾尔,男,2005,10,5,河北省唐山市迁安市杨各庄镇上换甲套村委会,230601201409065682,张家口市怀安县分局,2002.06.18-长期
q1hlxywcmg,廖玉洁,畲,女,2010,10,19,湖南省张家界市永定区双溪桥乡陈家山村委会,220623198605278473,临汾市洪洞县公安局,2011.08.11-2016.08.11
uzozczvl8y,刘山山,京,女,1961,8,27,上海市市辖区闸北区共和新路街道嘉利居委会,45070319680905785,枣庄市山亭区分局,2016.11.21-2026.11.21
mcclv1vp78,孔祥友,白,女,1949,8,22,山东省淄博市博山区域城镇龙堂村委会,310120200402198705,邯郸市临漳县分局,2018.12.21-2023.12.21
kuy84du0ho,郭明翰,独龙,女,1989,10,23,山东省青岛市黄岛区泊里镇三合村村委会,13080419470727648,运城市万荣县分局,1993.07.19-2003.07.19
pvk0iot6h6,毕丰,鄂伦春,女,2010,8,13,四川省广安市武胜县鼓匠乡东原村委会,452124198805029305,佳木斯市前进区公安局,2006.12.10-2026.12.10
mitxmi7sgt,胡荣生,蒙古,男,1977,11,20,福建省泉州市德化县浔中镇凤池社区居委会,340225198804199068,甘孜藏族自治州得荣县分局,2006.07.12-长期
uuyl7xz32s,彭全红,高山,男,2009,4,30,河北省张家口市涿鹿县矾山镇矾山镇居委会,140701201001076110,葫芦岛市连山区分局,1993.11.27-2003.11.27
yavbrrtnf4,吕良玉,赫哲,女,1957,2,12,河南省焦作市修武县云台山镇岸上村民委员会,33112619580407992,哈尔滨市双城区分局,1998.03.02-2003.03.02
bvlqy8ed8o,黎建业,仡佬,女,1968,5,10,四川省南充市嘉陵区凤垭街道南海社区居民委员会,45010519590631104,开封市金明区公安局,2018.03.26-2028.03.26
nuljjguzf6,罗新梅,侗,女,1980,3,17,湖南省永州市东安县南桥镇八家村村委会,411024200402318214,朔州市平鲁区分局,2015.10.30-2025.10.30
z4xvgtlio3,杜传忠,东乡,男,1960,12,28,云南省曲靖市会泽县上村乡大松树村委会,15050119451012812,县巫溪县公安局,1997.05.09-长期
sw58q8ykvb,谢跃峰,壮,男,1975,5,31,四川省甘孜藏族自治州康定市朋布西乡甲根桥村民委员会,610723199011158681,商丘市夏邑县分局,2004.06.16-2009.06.16
ttm29gjtsw,朱振平,壮,男,1954,10,1,安徽省阜阳市颍泉区闻集镇大宁村委会,230405198604225686,苏州市吴江区公安局,2000.12.25-2020.12.25
10cdmzac3p,鄢鑫,彝,女,1973,7,9,山东省滨州市博兴县庞家镇皂李村委会,53062219581214165,哈密地区巴里坤哈萨克自治县分局,2018.05.25-长期
